created_date,count
02/02/2022,3638
03/02/2022,3425
04/02/2022,3421
05/02/2022,1880
06/02/2022,1710
07/02/2022,4432
08/02/2022,3598
09/02/2022,3424
10/02/2022,3313
11/02/2022,3244
12/02/2022,2084
13/02/2022,1792
14/02/2022,4302
15/02/2022,3661
16/02/2022,3715
17/02/2022,3221
18/02/2022,2634
19/02/2022,1981
20/02/2022,1745
21/02/2022,4177
22/02/2022,3687
23/02/2022,3262
24/02/2022,3223
25/02/2022,2955
26/02/2022,2022
27/02/2022,1663
28/02/2022,4089
01/03/2022,3504
02/03/2022,3411
03/03/2022,3376
04/03/2022,3061
05/03/2022,2061
06/03/2022,1794
07/03/2022,4207
08/03/2022,3588
09/03/2022,3414
10/03/2022,3195
11/03/2022,2984
12/03/2022,2159
13/03/2022,1574
14/03/2022,4175
15/03/2022,3370
16/03/2022,3144
17/03/2022,3094
18/03/2022,2907
19/03/2022,1957
20/03/2022,1575
21/03/2022,4255
22/03/2022,3334
23/03/2022,3339
24/03/2022,3217
25/03/2022,2938
26/03/2022,1861
27/03/2022,1465
28/03/2022,4068
29/03/2022,3382
30/03/2022,3130
31/03/2022,2522
01/04/2022,2682
02/04/2022,1925
03/04/2022,1604
04/04/2022,3970
05/04/2022,3483
06/04/2022,3254
07/04/2022,3145
08/04/2022,2850
09/04/2022,1918
10/04/2022,1697
11/04/2022,3914
12/04/2022,3461
13/04/2022,3261
14/04/2022,3029
15/04/2022,1759
16/04/2022,1583
17/04/2022,1243
18/04/2022,1884
19/04/2022,4338
20/04/2022,3441
21/04/2022,3282
22/04/2022,2973
23/04/2022,2065
24/04/2022,1484
25/04/2022,4092
26/04/2022,3360
27/04/2022,3240
28/04/2022,3005
29/04/2022,2950
30/04/2022,1613
01/05/2022,1319
02/05/2022,1799
03/05/2022,4054
04/05/2022,3228
05/05/2022,3160
06/05/2022,2893
07/05/2022,1633
08/05/2022,1497
09/05/2022,4081
10/05/2022,3196
11/05/2022,3092
12/05/2022,3027
13/05/2022,2801
14/05/2022,1657
15/05/2022,1459
16/05/2022,3925
17/05/2022,3149
18/05/2022,3023
19/05/2022,2854
20/05/2022,2713
21/05/2022,1603
22/05/2022,1368
23/05/2022,3769
24/05/2022,3137
25/05/2022,2866
26/05/2022,2929
27/05/2022,2718
28/05/2022,1635
29/05/2022,1421
30/05/2022,3771
